Student,Text
T,"Hey, how are you? [Everyone smiles]."
M,We’re confused. [Everyone laughs].
T,"Oh, good. I'm so happy to hear. What are you confused about?"
M,"Um, I think, okay. This is like what we have so far.."
T,Love it.
M,For A.
T,Yeah
M,"But we feel like this is wrong. Like, you know what I mean?"
T,Why?
M,I don’t know.
C,Like there’s something missing.
M,"Like, we feel like there needs to be something keeping the. And it's also like, we know it's like circular movement. So. And we were saying that there's no acceleration. [She grimaces]."
C,"Yeah. I think that's, I think that's really throwing me off a lot is like the fact that it says constant speed so the acceleration would be zero. Yeah. But I think I'm like a little bit confused about that because my, okay. So like looking at this I'd be like, oh there's a motion which –"
T,Like yeah right. Or constant speed maybe.
C,"Oh is that, is that, okay."
T,"So yeah, weirdly constant speed and at rest are the same because they're both zero acceleration."
C,"Oh, okay. Okay. So maybe this is okay. I was like."
C,So maybe this is okay. I was like.
T,"Yeah, looks good to me."
C,"Okay. So I just I'm like I'm like, well it's moving more like this to me is like, it's gonna fall down,"
T,Right! You're right!
C,"So I'm like, it's not falling down. And I think that's, I mean, I'm gonna guess friction just cause it says friction. [Points to the board]."
T,What's going on with that? This is exactly where we want you to be confused so that's perfect.
M,"Also, like, I was just thinking, like, when we were looking at circular motion, it was like the acceleration was going in, but that's. I know, that's like when it starts. When it's speeding up, right? That's like–"
T, It's not!
M,No?
T,You're right. It is for a constant speed.
M,Oh okay. Yeah.
C,So we can use that to like the A equals.
T,"So there will be no linear acceleration. True, it's not speeding up."
C,Okay
T,But changing direction counts as acceleration.
C,Ohhh.
T,"And the direction of that, when it's at constant speed in a circle, is always radially inward."
M,Okay
T,So now. I'm going to tell you that your n's and your g's are right.
C,Yay! [Melanie claps].
T,"So then knowing what you know now. Why isn't he falling off at the top or is he? I mean, I guess he's not,  but."
C,"I feel like it could be like momentum related because, like the fact that he has mass and velocity."
T,Yeah.
C,Like he's gonna keep him going.
T,Totally.
C,So maybe that is part of it.
T,"Yeah. Something I like to think about for this problem is especially for part B, this kind of helps me think about it. What happens if this was a half pipe?"
C,Oh.
T,"Like, it just stopped here [going to the blackboard] and he went like [showing something on the blackboard, off camera]..wooh. What would happen to you?"
C,Go back down. [Hand motion curving down].
T,You go like.
C,"Well, like maybe over a little bit. You would."
M,You would like– [Draws out a circular path with her finger].
T,Up or something.
M, Oh. Okay
C,Yeah.
T,Okay. Like then what if you went this way and then it comes over here.
C,You’re gonna fall down. Yeah.
T,"You know, that if you're going at some speed and you reach this spot, you won't just stop."
C,Right.
T,"Like launch or something. Yeah. There's some, like, launching. And I like your idea of, like the launching some momentum."
C,Okay.
T,Yeah. So there's launching. There's momentum. There's movement. And all the forces are pointing down.
C,Yeah. Okay so.
T,So I'm going to let you think okay. I’m not going to even talk to you about it. I'll come back up.
C,"Okay. So we could look at momentum. What does that, just p = mv."
M,"Um, um, I think so."
C,"And then I'm also just like. I'm grappling, you know, with friction because if there is friction, the acceleration is pointing inwards, right. So. The friction has to be pointing inward as well, which I feel like would also be weird."
M,"Yeah. What's throwing me off is C because okay, like we talked about the acceleration, it would be pointing inward. Still."
C,Right.
M,"Well, I mean, I guess that doesn't matter because it's not a force, but I'm still just confused. I feel like there needs to be something up. Or maybe not. I don't know.
"
C,"No, I agree. I don't know, I think the only reason it's not falling is maybe because it has a certain momentum, like if it wasn't going at a certain velocity. Without a mass, it would just drop."
R,And that ties into the minimum speed.
C,Right. So maybe we try to like play with some numbers like that.
M,So momentum is what.
C,Okay. So momentum is the p = mv. The net force equals the change in p over the change in time.
M,The change in velocity times the mass.
R,Change in velocity times the mass.
C,Yeah. That's momentum.
M,Yeah.
R,But is there a change in velocity?
C,"No, so it would just be zero. [Grimaces]. But, it’s not though."
R,It’s not.
C,"Okay, so."
M,"Oh, wait, I don't know. Well, because it's the acceleration. And we said it wasn't zero. Right?
"
C,Yeah
M,Yeah. Because there's still a change in direction.
C,Yeah.
M,But I don't know how we would.
C,The acceleration is always pointing in.
M,"So, like, it would be that times the mass, for the net force."
C,So there is a change in velocity.
M,Yeah.
C,"Is it, is it just gravity? Is it just ten?"
M,"I feel like if I were doing a p-set, that's what I would get."
C,I would too.
M,Should we try that?
C,Yeah. Yeah. Let's do it.
M,"Then that would be 200kg times 9.8. Or ten.
"
C,"Yeah, ugh. Did you say F- net?"
M,Yeah
C,"Wait, so I guess delta is equal to m times v. Is it times v or is it times change, delta v. I'm going to look it up. But, yeah, I think it’s just. I don't know if it's change in velocity. I think it’s just velocity."
M,Oh.
C,Because that would be times acceleration if it were change in velocity.
M," Yeah. Yeah, yeah. Wait, I thought that's what it was. Maybe I'm wrong."
C,"I don’t know. For momentum, or for at least just like p, I think it's just velocity. But for force, it might be a different situation."
M,"Yeah. Oh you're right. Yeah. For momentum. Oh it is. It's for wait, for the net force. It's"
C,Yeah
M,A change in velocity. But for momentum.
C,"Okay, it’s just velocity."
M,Yeah.
C,"Is velocity eight meters? Oh, wait. No, we don't have velocity."
M,Yeah.
C,We just have a constant speed. Hm. We have the radius of the circle.
R,What is that?
M,"Oh, we can get it from that. Like the v. This is what we’re doing."
C,"Wait, so true. So are we going to say the acceleration is the gravitational one? Maybe."
M,Yeah. The 9.8.
C,Okay.
M,Okay. So 9.8 equals v^2 over r. And the radius is 8.
R,Are we doing 9.8 or 10.
C,"Um, we can just do 10."
M,What are the units for acceleration?
C,"Um, meters per second squared."
M,"Oh wait, you're right."
C,10. The radius is 8 meters? So the velocity. Did you get the square root of 80?
R,Yeah.
C,Okay.
M,"Oh, are you doing ten?"
C,Yeah. Sorry.
M,Okay. No. You're good. I just never know which one to use. Cause I know she said to use.
C,"Everything says 8.9, or 9.8, and then she's just like, just. So I usually just use ten cuz, I don't know."
M,Square root of 80. Okay. So that's our velocity.
C,Yeah.
M,"And then we can plug that into momentum which is p equals mass times velocity. So, 200kg. Oh wait then,  this is meters over seconds."
C,"Isn’t it kilograms times meters over seconds. For, I'm sorry, for momentum."
M,Yes.
