Student,Text,No evidence,Target phenomena,Set-up conditions,Entities,Activities,Properties,Organization,Chaining
B,I feel like we should move on. ,1,0,0,0,0,0,0,0
C,Ok. ,1,0,0,0,0,0,0,0
D,Um I was like looking at the second question. Should we just like do the [campus bus] route like I can pull out my computer and figure out how long that is. ,1,0,0,0,0,0,0,0
D,You can use like Google My Map. Yeah. Ok you can literally just do Google Maps yeah. ,1,0,0,0,0,0,0,0
C,Is that not - what was your option?,1,0,0,0,0,0,0,0
D,Google My Map cause you can just like draw it in. Cause Google Maps won't let you do a loop. It'll take you like the fastest way. But like it doesn't really matter. Also you could just like do it around the outside of campus. ,1,0,0,0,0,0,0,0
C,Should I do it - I'm just gonna do like campus center to the dorms.,0,0,1,0,0,0,0,0
D,Yeah.,1,0,0,0,0,0,0,0
C,Is that not long enough do you think? I don't think it really matters. I don't think it really matters yeah. ,1,0,0,0,0,0,0,0
D,I don't think it really matters. We just need to pick like any distance so I think it's fine. ,0,0,1,0,0,0,0,0
C,I'll do the engineering building cause it's on this side. ,0,0,1,0,0,0,0,0
D,Yeah just any distance. It's like. It would be super dumb if from driving to the campus center to Pearson you had to refill the tank but that's the question. ,0,0,1,0,0,0,0,0
C,Ok the whole loop we're gonna say is 3.1 miles. ,0,0,1,0,0,0,0,0
D,Yay. ,1,0,0,0,0,0,0,0
A,Ok. ,1,0,0,0,0,0,0,0
D,Should we make it 3.0?,0,0,1,0,0,0,0,0
A,Three - wait what was it? Three point what?,1,0,0,0,0,0,0,0
C,3.1.,1,0,0,0,0,0,0,0
A,Oh. ,1,0,0,0,0,0,0,0
D,Oh you're probably gonna need to find it in metric? Question mark.,1,0,0,0,0,0,0,0
A,Oh yeah. ,1,0,0,0,0,0,0,0
C,3.1 miles to...,1,0,0,0,0,0,0,0
B,Do you know how many...,1,0,0,0,0,0,0,0
D,It's like a 5K.,1,0,0,0,0,0,0,0
B,How much the [campus bus] would weigh?,0,0,1,0,0,0,0,0
D,No.,1,0,0,0,0,0,0,0
C,Like 6K.,1,0,0,0,0,0,0,0
A,We could just say like how much does a normal bus weigh with - yeah - ,0,0,1,0,0,0,0,0
D,Yeah like a 50 person or wait it's more than that.,0,0,1,0,0,0,0,0
A,Yeah. How many people do you think it fits?,0,0,1,0,0,0,0,0
D,Like 40?,1,0,0,0,0,0,0,0
A,Yeah. ,1,0,0,0,0,0,0,0
D,I have no idea. ,1,0,0,0,0,0,0,0
A,That's - I feel like yeah. Or just say how - ,1,0,0,0,0,0,0,0
D,Like you could probably look up something that looks similar and then just find.,1,0,0,0,0,0,0,0
A,Yeah. Yeah. ,1,0,0,0,0,0,0,0
D,Do we need that? Do we need that?,1,0,0,0,0,0,0,0
A,For - ,1,0,0,0,0,0,0,0
B,I feel like we do. ,1,0,0,0,0,0,0,0
A,Probably. ,1,0,0,0,0,0,0,0
B,Personally. ,1,0,0,0,0,0,0,0
D,I mean it makes sense but. ,1,0,0,0,0,0,0,0
A,Yeah. ,1,0,0,0,0,0,0,0
C,Um. ,1,0,0,0,0,0,0,0
A,Ok I'm gonna move to the next. ,1,0,0,0,0,0,0,0
D,Sounds good. ,1,0,0,0,0,0,0,0
C,Great.,1,0,0,0,0,0,0,0
A,Problem.,1,0,0,0,0,0,0,0
C,Why is it – oh ok. ,1,0,0,0,0,0,0,0
D,Should we start with listing kind of like our givens with like ,1,0,0,0,0,0,0,0
A,Yeah let's do that. ,1,0,0,0,0,0,0,0
D,Even though they aren't given. ,1,0,0,0,0,0,0,0
C,So are we gonna use kilograms or liters?,1,0,0,0,0,0,0,0
A,You can assume the density.,1,0,0,0,0,0,0,0
D,Liters cause it asks for volume. ,1,0,0,0,0,0,0,0
A,Ok let's just - I'm gonna put like the vegetable oil.,0,0,0,1,0,0,0,0
C,Yeah for the energy density. ,1,0,0,0,0,0,0,0
D,Yeah. I would use the one that's per liter cause it asks in the end for the volume. So that seems like it would make sense. ,1,0,0,0,0,0,0,0
C,Oh yeah. So.,1,0,0,0,0,0,0,0
A,Why did they give us-?,1,0,0,0,0,0,0,0
C,I don't know.,1,0,0,0,0,0,0,0
A,Oh maybe - ,1,0,0,0,0,0,0,0
D,I guess there like there could be a way to like think about it that way but -,1,0,0,0,0,0,0,0
A,Ok. ,1,0,0,0,0,0,0,0
D,It can - also having those two values lets you calculate the density density I think. ,1,0,0,0,0,0,0,0
C,Oh yeah.,1,0,0,0,0,0,0,0
A,I'm just gonna write both of them down. ,1,0,0,0,0,0,0,0
D,But I don't think you need it. ,1,0,0,0,0,0,0,0
C,Yeah. ,1,0,0,0,0,0,0,0
A,Ok so ,1,0,0,0,0,0,0,0
C,And then we decided that the length of the route is 4988.97 meters. ,0,0,1,0,0,0,0,0
A,What is it? Sorry. ,1,0,0,0,0,0,0,0
C,Take up a whole page to write that number down. ,1,0,0,0,0,0,0,0
D,I feel like you could have rounded to a whole number and like. ,1,0,0,0,0,0,0,0
C,No. ,1,0,0,0,0,0,0,0
D,Very precise. ,1,0,0,0,0,0,0,0
A,Wait wait wait. Don't erase it. Oh shoot. ,1,0,0,0,0,0,0,0
C,4988.,1,0,0,0,0,0,0,0
D,Also just like round. Like it's fine. ,1,0,0,0,0,0,0,0
A,4988.,1,0,0,0,0,0,0,0
C,That's not gonna make it more difficult. Less difficult. ,1,0,0,0,0,0,0,0
D,I know but it's like annoying. ,1,0,0,0,0,0,0,0
A,I'm just gonna say about 4988 meters. ,1,0,0,0,0,0,0,0
D,Yeah. ,1,0,0,0,0,0,0,0
A,Ok. ,1,0,0,0,0,0,0,0
C,Or 89 maybe?,1,0,0,0,0,0,0,0
A,What?,1,0,0,0,0,0,0,0
C,It's ok I'm kidding. ,1,0,0,0,0,0,0,0
D,It's literally fine. ,1,0,0,0,0,0,0,0
A,Wait 489?,1,0,0,0,0,0,0,0
D,doesn't matter at all. ,1,0,0,0,0,0,0,0
C,It's fine. It's so fine. I was just being annoying. I was just being annoying. ,1,0,0,0,0,0,0,0
