Student,Text,No evidence,Target phenomena,Set-up conditions,Entities,Activities,Properties,Organization,Chaining
T,Ok. Nice. Moving on in record time. ,1,0,0,0,0,0,0,0
X,Dun duh duh. ,1,0,0,0,0,0,0,0
T,Ok. I to be honest I'm not quite sure what they're looking for in this problem when it says design a protocol for getting the oxygen up to appropriate temperature and pressure. ,1,0,0,0,0,0,0,0
X,"So probably - so this is actually an area that um while I don't know a ton about gas turbines, I know a lot about flight because this is what I do for - um and stuff. ",1,0,0,0,0,0,0,0
T,Oh. Very nice. ,1,0,0,0,0,0,0,0
X,And I've actually designed stuff that works at a hundred thousand feet. So.,1,0,0,0,0,0,0,0
A,Oh.,1,0,0,0,0,0,0,0
T,Awesome. ,1,0,0,0,0,0,0,0
X,Not gas turbines but airplanes.,1,0,0,0,0,0,0,0
T,Ok. ,1,0,0,0,0,0,0,0
X,So um so I think what they're looking for is I think they're looking for like you know you're saying ok the air is gonna come in does it go through like um you know like a diffuser or and then does it go you know.,0,0,0,0,1,0,0,0
T,Ok. ,1,0,0,0,0,0,0,0
X,And then how do we basically -,1,0,0,0,0,0,0,0
T,Compressor,0,0,0,1,0,0,0,0
A,[inaudible] compressor. ,1,0,0,0,0,0,0,0
X,Yeah a compressor and then do we have like a -,1,0,0,0,0,0,0,0
T,Like a kind of multi-stage compressor.,0,0,0,1,0,0,0,0
X,Right. So we're looking for the stages. ,1,0,0,0,0,0,0,0
T,Ok. ,1,0,0,0,0,0,0,0
X,So I think that's what they mean by a protocol. Right so.,1,0,0,0,0,0,0,0
T,Ok. ,1,0,0,0,0,0,0,0
X,So I had a couple of thoughts on this. ,1,0,0,0,0,0,0,0
T,Awesome. Ok.,1,0,0,0,0,0,0,0
X,And I don't know um you know I'm open to stuff.,1,0,0,0,0,0,0,0
T,Please yeah.,1,0,0,0,0,0,0,0
X,But um so one of the things - and we haven't really covered this - but one of the things about flying at a hundred thousand feet is lift is a function of something uh sorry was that me that just did that? So lift is a function of a formula which is one half rho v squared.,0,1,0,0,0,0,0,0
T,Mhm.,1,0,0,0,0,0,0,0
X,"Um times cl times area of your wing, but we don't need to worry about that so much. Really the important relationship there is that as density goes down, you have to do something to increase the amount of lift that you get. And so typically what you do as you fly higher is you fly it faster.",0,0,1,0,0,0,0,0
T,Right. How does thrust work in - is thrust in that equation somewhere?,1,0,0,0,0,0,0,0
X,Um. So so um.,1,0,0,0,0,0,0,0
T,I remember reading something about,1,0,0,0,0,0,0,0
X,"Yeah so there's something on a airplane called its um lift to drag ratio, so um you know it's it's uh in practical sense it's how far forward and airplane can glide for every foot that it loses, but also what it means is that if your airplane weighs say a hundred thousand pounds and let's say you have a lift to drag ratio or ten to one, then that means that you need ten thousand pounds of thrust to keep -",0,0,1,0,0,0,0,0
T,Right.,1,0,0,0,0,0,0,0
X,- it in level flight. Right because that's one tenth.,1,0,0,0,0,0,0,0
T,Ok.,1,0,0,0,0,0,0,0
X,So it's ten to one. So um but where I was going with it - ,1,0,0,0,0,0,0,0
T,Yeah.,1,0,0,0,0,0,0,0
X,- so I don't think that that's gonna be all that important here.,1,0,0,0,0,0,0,0
T,Ok.,1,0,0,0,0,0,0,0
X,"But what I was thinking is important is that it turns out at a hundred thousand feet, the density - the air density - is about one one hundredth of what it is um on the surface of Earth, and so what that means is that your flight speed, because it's one half rho v squared, to offset that with velocity you have to go about ten times faster. So if your airplane was designed to do say two hundred miles an hour, right, um then at a hundred thousand feet, you need to do two thousand miles an hour right. So what that means is that the air coming in, even though it's a lower density air, um, may actually be coming in with a pretty high speed and we may actually have to slow it down.",0,0,0,0,1,0,0,0
A,With a compressor.,0,0,0,1,0,0,0,0
T,Interesting.,1,0,0,0,0,0,0,0
X,So and we might not actually have to even use a compressor.,0,0,0,1,0,0,0,0
A,[inaudible],1,0,0,0,0,0,0,0
T,Diffuser?,0,0,0,1,0,0,0,0
X,"So do you guys remember - yeah a diffuser right. So we were - the diffusers we were we had you know high pressure air coming in and then it would diffuse, but it was also heating up, which was kind of a good thing for us, right? ",0,0,0,0,0,1,0,0
T,Mhm.,1,0,0,0,0,0,0,0
X,"Um and we haven't gotten into any Mach effects, so I don't think we have to take that into account here. Um.",1,0,0,0,0,0,0,0
T,Hopefully not. ,1,0,0,0,0,0,0,0
X,"No I'm - like if you were actually doing this for something that was going that fast, there would be - what you would do is you - there's a shock wave and then the kind of that kind of acts like your diffuser um because the air has to pass through the shock wave and it has to slow down to subsonic speeds. ",0,0,0,0,1,0,0,0
T,Right ok.,1,0,0,0,0,0,0,0
X,"And so uh in the process it heats up um uh so um so anyway so I guess where I was going with that was that I imagine that we have to have some kind of diffuser, um and what governs that I think might be what temperature we want this stuff to go to. ",0,0,0,0,0,1,0,0
T,Mhm. Ok.,1,0,0,0,0,0,0,0
X,Right if we're worried about temperature. But I don't know maybe we're not worried about temperature. ,1,0,0,0,0,0,0,0
T,I mean the problem says that we would need it both up to pressure and temperature. ,1,0,0,0,0,0,0,0
X,Ok. ,1,0,0,0,0,0,0,0
T,Uh so we probably should pay attention to that a bit. ,1,0,0,0,0,0,0,0
A,Increase temperature? The combustion chamber?,0,0,0,1,0,0,0,0
X,"So yeah so combustion chamber would so that's the other thing too right is uh accelerating a gas to supersonic speeds is not something you can really do, but what you can do is you can increase the temperature of that gas so that the supersonic speed in there is - you're not exceeding the supersonic speed in there so - and that's what jet engines do. That's why you can go supersonic with a jet engine. The gas coming out the back of a jet engine is not going supersonic.",0,0,0,0,0,1,0,0
T,Right.,1,0,0,0,0,0,0,0
X,It's hot enough that the speed of sound within that gas is much higher. Um but I don't think we have to worry about any of that. But so we have to - so maybe in this maybe we do still use a compressor. Maybe we'd use like a diffuser and then we have a compressor to bring it back - to bring it up to the pressure that we want. ,0,0,0,0,0,1,0,0
T,Ok so diffuser will be - we need the diffuser because we're going fast enough -,0,0,0,1,0,0,0,0
X,Probably.,1,0,0,0,0,0,0,0
T,- that the air. Thank you. Um so the diffuser is used to like to bring the velocity -,0,0,0,0,1,0,0,0
X,To slow. To bring the velocity down. ,0,0,0,0,1,0,0,0
T,- of the air down.,0,0,0,1,0,0,0,0
X,And it will bring the temperature up. ,0,0,0,0,0,1,0,0
T,And the temperature up. ,0,0,0,0,0,1,0,0
X,I think. I think if I remember that right. ,1,0,0,0,0,0,0,0
T,Ok. We'll check on that. ,1,0,0,0,0,0,0,0
X,Yeah.,1,0,0,0,0,0,0,0
A,We can always use the combustion chamber to bring the temperature up. ,0,0,0,0,0,1,0,0
X,Well.,1,0,0,0,0,0,0,0
T,Well but I think yeah. Does it need to be at a temperature before?,0,0,0,0,0,1,0,0
X,See I don't know. I don't know if that's really true. ,1,0,0,0,0,0,0,0
